station,zip_code
FRANKLIN ST,10013
HOUSTON ST,10014
18 ST,10011
66 ST-LINCOLN,10023
116 ST-COLUMBIA,10027
137 ST CITY COL,10031
157 ST,10032
191 ST,10040
207 ST,10034
215 ST,10034
MARBLE HILL-225,10034
231 ST,10463
238 ST,10463
V.CORTLANDT PK,10471
BOWLING GREEN,10004
BROOKLYN BRIDGE,10038
BLEECKER ST,10012
ASTOR PL,10003
33 ST,10016
GRD CNTRL-42 ST,10065
51 ST,10022
68ST-HUNTER CO,10021
110 ST,10029
138/GRAND CONC,10451
149/GRAND CONC,10451
MT EDEN AV,10452
176 ST,10453
BURNSIDE AV,10453
183 ST,10453
MOSHOLU PKWY,10467
WOODLAWN,10466
CENTRAL PK N110,10065
HARLEM 148 ST,10039
3 AV-149 ST,10455
JACKSON AV,10455
INTERVALE AV,10459
SIMPSON ST,10459
FREEMAN ST,10459
174 ST,10460
WEST FARMS SQ,10460
E 180 ST,10460
BRONX PARK EAST,10462
PELHAM PKWY,10462
ALLERTON AV,10467
BURKE AV,10467
GUN HILL RD,10469
219 ST,10467
225 ST,10466
233 ST,10466
NEREID AV,10065
WAKEFIELD/241,10470
3 AV 138 ST,10454
BROOK AV,10454
CYPRESS AV,10454
E 143/ST MARY'S,10454
E 149 ST,10065
LONGWOOD AV,10455
HUNTS POINT AV,10459
WHITLOCK AV,10459
ELDER AV,10472
MORISN AV/SNDVW,10472
ST LAWRENCE AV,10472
PARKCHESTER,10472
CASTLE HILL AV,10462
ZEREGA AV,10461
WESTCHESTER SQ,10461
MIDDLETOWN RD,10461
BUHRE AV,10461
PELHAM BAY PARK,10461
5 AVE,10022
VERNON-JACKSON,11101
HUNTERS PT AV,11101
QUEENSBORO PLZ,11101
39 AV,11101
36 AV,11106
30 AV,11102
ASTORIA DITMARS,11105
33 ST-RAWSON ST,11101
40 ST LOWERY ST,11104
46 ST BLISS ST,11104
52 ST,11377
61 ST WOODSIDE,11377
69 ST,11377
74 ST-BROADWAY,11372
82 ST-JACKSON H,11372
90 ST-ELMHURST,11372
JUNCTION BLVD,11368
103 ST-CORONA,11368
METS-WILLETS PT,11368
FLUSHING-MAIN,11354
34 ST-HUDSON YD,10001
CLARK ST,11201
HOYT ST,11201
NEVINS ST,11217
GRAND ARMY PLAZ,11238
EASTN PKWY-MUSM,11238
KINGSTON AV,11213
CROWN HTS-UTICA,11213
SUTTER AV-RUTLD,11212
SARATOGA AV,11212
JUNIUS ST,11212
PENNSYLVANIA AV,11207
NEW LOTS AV,11207
PRESIDENT ST,11225
STERLING ST,11225
WINTHROP ST,11225
BEVERLY RD,11226
NEWKIRK AV,11226
FLATBUSH AV-B.C,11210
MORRIS PARK,10462
BAYCHESTER AV,10469
EASTCHSTER/DYRE,10466
ST. GEORGE,10301
TOMPKINSVILLE,10304
RIT-MANHATTAN,10017
RIT-ROOSEVELT,10065
